sal_code,deviance,res,x,y
1990627,-0.731,5,-34.06021908,18.66180818
1990650,0.633,1,-34.01449892,18.65690281
1990672,0.119,2,-34.00804014,18.64604529
1990678,1.066,1,-34.02129439,18.65982798
1990679,-0.905,5,-34.05967408,18.69602355
1990687,-0.326,3,-34.01736188,18.66365447
1990688,-0.004,2,-34.0563758,18.69252632
1990705,-0.126,2,-34.01698384,18.63717405
1990712,-0.902,5,-34.05730333,18.65780122
1990746,-0.899,5,-34.040538,18.68641368
1990750,0.223,2,-34.04115648,18.67334082
1990753,2.822,1,-34.01427772,18.63571746
1990755,0.423,1,-34.042058,18.68529517
1990773,-0.755,5,-34.06060722,18.66379452
1990775,-0.475,3,-34.02918617,18.66192316
1990783,-0.608,4,-34.04650296,18.68504741
1990789,2.71,1,-34.05211639,18.7077583
1990800,-0.799,5,-34.01782309,18.65196046
1990824,-0.832,5,-34.03566566,18.6797554
1990831,-0.473,3,-34.0184074,18.65265051
1990833,-0.901,5,-34.05893857,18.69949721
1990838,-0.344,3,-34.01646566,18.66547881
1990845,-0.639,4,-34.01936641,18.67188198
